place_id,place,address,lat,lng,place_type,category
146,용산삼계탕,서울 용산구 한강로2가 84-1,37.5312872220554,126.971516442289,음식점,['맛집']
147,몽키캠핑장,충남 천안시 동남구 북면 납안리 413-6,36.847171073592,127.249217111844,액티비티,"['자연', '휴양']"
148,캠프다온,경기 포천시 영북면 소회산리 537,38.0754045473508,127.248104805233,액티비티,"['자연', '휴양']"
149,남촌횟집,경남 사천시 서포면 비토리 119-217,34.9660067151317,127.976576620112,음식점,['맛집']
150,푸르른캠핑장,경기 양평군 단월면 향소리 412-1,37.5650342749723,127.655307601929,액티비티,"['자연', '휴양']"
151,원마운트스노우파크,경기 고양시 일산서구 대화동 2606,37.6645540981816,126.754526582068,액티비티,"['오락', '자연']"
152,운배마루 숯가마,경기 용인시 처인구 양지면 대대리 296,37.2582963196459,127.25661224604,찜질방,"['힐링', '휴양']"
153,오히루텐,경남 김해시 봉황동 223-4,35.2290150199209,128.878969687087,음식점,['맛집']
154,풍류해수욕장캠핑장,전남 고흥군 두원면 풍류리 683,34.6636193394491,127.229570798679,관광지,"['바다', '휴양']"
155,크레이지팡팡,대구 중구 남일동 135-3,35.868814196144,128.593029451624,액티비티,"['오락', '액티비티']"
156,신생캠핑장,강원특별자치도 평창군 대관령면 횡계리 245-86,37.6588563793081,128.719764408552,액티비티,"['자연', '힐링']"
157,태안머드오토캠핑,충남 태안군 남면 진산리 613-55,36.721933025669,126.273593678074,액티비티,"['자연', '힐링']"
158,윤식당 차돌박이 해운대본점,부산 해운대구 우동 1436-2,35.154787253959,129.146692803602,음식점,['맛집']
159,베이그릴121,충남 보령시 오천면 원산도리 1671-4,36.3691659208039,126.398214897278,음식점,['맛집']
160,강릉조개마을,강원특별자치도 강릉시 교동 1839-1,37.7670425472483,128.875781878031,음식점,['맛집']
161,월강캠프,강원특별자치도 횡성군 강림면 월현리 1215,37.3550844901253,128.152524045121,액티비티,"['자연', '힐링']"
162,동지화캠핑장,강원특별자치도 화천군 화천읍 신읍리 819,38.1286635308863,127.697319642719,액티비티,"['자연', '힐링']"
163,욕지도새울림캠핑장,경남 통영시 욕지면 서산리 773-2,34.6471472175186,128.233130333377,액티비티,"['자연', '힐링']"
164,속초대게마을,강원특별자치도 속초시 장사동 577-76,38.2223324550423,128.590080448069,음식점,['맛집']
165,향촌식당,서울 중구 산림동 174,37.567644160229,126.995743761573,음식점,['맛집']
166,서산노을빛바다캠핑장,충남 서산시 팔봉면 호리 270-7,36.8518798444712,126.326119646406,관광지,"['경치', '바다']"
167,스테이밸리캠핑장,강원특별자치도 인제군 남면 소치리 544,37.9646343199028,128.130905595325,관광지,"['자연', '힐링']"
168,휴앤아크카페&캠핑장,강원특별자치도 인제군 기린면 방동리 68-3,37.946787473002,128.388537951646,카페,['카페']
169,약수촌,경기 남양주시 진접읍 장현리 162,37.7312674739112,127.187333032173,음식점,['맛집']
170,다대포 할매집,부산 사하구 다대동 468-42,35.0452370074093,128.969351190166,음식점,['맛집']
171,구봉농원,강원특별자치도 춘천시 동면 만천리 329,37.8864090559602,127.774717452797,음식점,['맛집']
