place_id,address,lat,lng,place,place_type,category,region_id,popularity
5492,울산 중구 태화동 471-13,35.5498831472527,129.295934196011,돈제돈까스 태화강국가정원점,음식점,['맛집'],3,0.7472404719873131
5493,울산 울주군 범서읍 굴화리 743-2,35.5541361114387,129.252456867933,떡불킹 울산대점,음식점,['맛집'],3,0.7462119458377339
5494,경남 창원시 의창구 봉곡동 32-10,35.2444897078039,128.650820686461,창원 도해,음식점,['맛집'],3,0.6122743140531572
5495,울산 울주군 범서읍 천상리 610-9,35.5635720145967,129.228727644901,화목한가족족발 울산천상점,음식점,['맛집'],3,0.7346197196866844
5496,전남 여수시 돌산읍 율림리 450-1,34.6065690755509,127.786774453221,여수 갈치조림기똥차게맛있는집,음식점,['맛집'],1,0.5525841656808634
5497,울산 남구 달동 122-3,35.5356684731541,129.322793776604,달동한우돌곱창,음식점,['맛집'],3,0.5998992441004632
5498,울산 중구 태화동 489-6,35.5519959602991,129.300225031199,해운대제면소 울산태화점,음식점,['맛집'],3,0.942137725056861
5499,울산 남구 달동 1356-4,35.5393138677443,129.329201459093,달동생아구,음식점,['맛집'],3,0.5524825713879142
5500,울산 중구 성안동 472-12,35.5782094963573,129.324677876749,골든드롭,카페,['카페'],3,0.9747347541837323
5501,울산 동구 일산동 951-3,35.4984070703803,129.428515265139,삼환축산,음식점,['맛집'],3,0.7432575387705048
5502,울산 남구 무거동 627-11,35.5410019284525,129.260804340684,신가네 밀면,음식점,['맛집'],3,0.7088480530642318
5503,울산 남구 삼산동 1550-19,35.5433543803929,129.339293628447,구룡성 양갈비 양꼬치,음식점,['맛집'],3,0.5323709644883167
5504,울산 북구 중산동 1284-2,35.653098215407,129.349264027932,장고집,음식점,['맛집'],3,0.5144155067731577
5505,울산 울주군 온양읍 대안리 570-1,35.4110206581731,129.28138485451,고기력,음식점,['맛집'],3,0.9739466689175609
5506,울산 남구 삼산동 1477-3,35.5376907641863,129.337297462421,울지로,음식점,['맛집'],3,0.6823484893837695
5507,전남 순천시 오천동 600,34.928871680184,127.500801495864,순천만국가정원,관광지,"['경치', '자연']",1,0.6502597720244953
5508,전남 여수시 돌산읍 평사리 1273-5,34.6878464966926,127.779080650643,모이핀 오션점,카페,['카페'],1,0.9401650120492973
5509,전남 여수시 웅천동 1794-2,34.7498197163799,127.68193150638,마니또프룻트리,음식점,['맛집'],1,0.6511354901630252
5510,전남 여수시 봉산동 272-4,34.7331840079809,127.721825424218,뵈르뵈르,음식점,['맛집'],1,0.9374611986739688
